Shelfmark ID,Longer Shelfmark,Folder,Pages,Type,notBefore,notAfter,Status,Script,Folio Sampling,Content,Biblissima,Link,Scribe,Origin,OriginSource
Egerton 821,"London. BL, Egerton MS 821",data/Egerton821,4,Medic.,1100,1199,Color,Praegothica,Sequential,54v-56r: Sortes sanctorum. f. 56r: A prayer-charm for a wounded animal. ff. 56r: A charm against fever,https://data.biblissima.fr/w/Item:Q203065,http://access.bl.uk/item/viewer/ark:/81055/vdc_100064384124.0x000001,,Southern France,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Egerton_MS_821
Montpellier H318,"Montpellier, Bibliothèque interuniversitaire. Section Médecine, H 318",data/H318,5,Medic.,1100,1299,Color,Semitextualis Libraria,Sequential,"Anonyme, De urinis, Recettes, Constantinus, Libert de coitu, Bartholomeus Salernitanus, Practica",https://data.biblissima.fr/w/Item:Q169227,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=17936,,Not found,http://www.calames.abes.fr/pub/#details?id=D01041584
CCCC MSS 236,"Cambridge. Corpus Christi College, Parker Library MS 236",data/CCCC-MSS-236,5,Lit.,1200,1225,Color,Textualis Libraria,Sequential,"Martial, Book 1: pr, 3, 4, 6, 15, 8-10, 13-14, 16, 19-20, 18, 21-25, 28, 33-34, 37, 40, 42-48",https://data.biblissima.fr/w/Item:Q210336,https://parker.stanford.edu/parker/catalog/jf942rk0336,,Not found,https://archive.org/details/descriptivecatal01corprich/page/536/mode/2up
CLM 13027,"Munich. Bayerische Staatsbibliothek, Clm 13027",data/CLM13027,5,Medic.,1250,1299,Color,Southern Textualis Libraria,Sequential,"Liber minor de Coitu. Galien, De Crisibus",https://data.biblissima.fr/w/Item:Q259435,"https://www.digitale-sammlungen.de/de/view/bsb00042773?page=78,79",,Padoue/Bologne,http://www.mirabileweb.it/manuscript/m%C3%BCnchen-bayerische-staatsbibliothek-clm-13027-manuscript/250
Latin 16195,"Paris. BnF, Latin 16195",data/Latin16195,4,Medic.,1250,1299,Microfilm,Semitextualis Currens,Sequential,Questiones De Coitu,https://data.biblissima.fr/w/Item:Q61557,https://gallica.bnf.fr/ark:/12148/btv1b9067171j,,Not found,https://bibale.irht.cnrs.fr/32200
† MsWettF 15,"Aarau. Aargauer Kantonsbibliothek, MsWettF 15",data/WettF0015,5,Schol.,1270,1280,Color,Textualis Libraria,Sequential,"Rothwell, Commentarius in libros Sententiarum",https://data.biblissima.fr/w/Item:Q218939,https://www.e-codices.ch/en/list/one/kba/WettF0015,,Wettingen,http://fama.irht.cnrs.fr/manuscrit/40246
Laur. Plut. 33.31,"Florence. Biblioteca Medicea Laurenziana, Plut., 33.31",data/LaurentianusPluteus33.31,5,Lit.,1330,1340,Color,Textualis Meridionalis,Sequential,"Priapea, 12-45",,http://mss.bmlonline.it/s.aspx?Id=AWOMTaB0I1A4r7GxMWe2,Boccace,Naples/Florence,https://doi.org/10.4000/genesis.4530
Arras 861,"Arras. Médiathèque municipale, Ms. 861",data/Arras-861,5,Lit.,1300,1399,Color,Textualis Formata,Sequential,"Seneca, Ad Lucilium, 121-122",https://data.biblissima.fr/w/Item:Q208204,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/24540/manifest,,France,https://www.persee.fr/docAsPDF/rht_0373-6075_1999_num_28_1998_1465.pdf
† BIS 193,"Paris. Bibliothèque interuniversitaire de la Sorbonne, MSVC 193",data/BIS-193,5,Schol.,1300,1399,Color,Textualis currens,Sequential,"Adam Wodeham, Ordinatio, Liber IV, Quaestio 6.",https://data.biblissima.fr/w/Item:Q217728,https://nubis.univ-paris1.fr/ark:/15733/3n47,,Not found,http://www.calames.abes.fr/pub/#details?id=UNIA10429
"Phil., Col. of Phys. 10a 135","Philadelphia, College of Physicians 10a. 135",data/Phi_10a135,5,Medic.,1300,1399,Color,Cursiva recentior,Sequential,Tractatus de Sterilitate,,https://openn.library.upenn.edu/Data/0027/html/cpp_10a_135.html,,Montpellier/Italy,https://openn.library.upenn.edu/Data/0027/html/cpp_10a_135.html
† Mazarine Ms. 915,"Paris. Bibliothèque Mazarine, Ms 915",data/Mazarine915,4,Schol.,1300,1399,Color,Textualis Meridionalis,Sequential,"Adam Wodeham, Ordinatio",https://data.biblissima.fr/w/Item:Q216214,https://bibnum.institutdefrance.fr/ark:/61562/mz2892,,France,http://www.calames.abes.fr/pub/#details?id=MAZA13777
"‡ UBL, Ms 758","Leipzig, Universitätsbibliothek Leipzig, Ms 758",data/UBL758,15,Eccl.,1320,1340,Color,Textualis Libraria,Semi-Sequential,In annuntiatione Mariae,,https://katalog.ub.uni-leipzig.de/urn/urn:nbn:de:bsz:15-0012-227346,,Bohemia,https://lab.sbb.berlin/ubl-ms-758/ 
Latin 6395,"Paris. BnF, Latin 6395",data/Latin6395,6,Lit.,1325,1399,Microfilm,Semitextualis Libraria,Sequential,"Seneca, Medea, 284-",https://data.biblissima.fr/w/Item:Q65142,https://gallica.bnf.fr/ark:/12148/btv1b10720891d,,"Milan, Lombardy",https://portail.biblissima.fr/en/ark:/43093/mdataceef7bc51eed9697579e6384c858287f8532028c
Laur. Plut. 39.34,"Florence. Biblioteca Medicea Laurenziana, Plut., 39.34",data/LaurentianusPluteus39.34,5,Lit.,1400,1499,Color,Humanistica Cursiva,Sequential,"Priapea, 01-16",,http://mss.bmlonline.it/s.aspx?Id=AWOIefvEI1A4r7GxMHus,,Not found,
† Vat. Pal. Lat. 373,"Vatican. Biblioteca apostolica vaticana, Pal.lat.373",data/PalLat373,4,Schol.,1400,1499,Microfilm,Hybrida Currens,Sequential,"Plaoul, De Fide, Lectio 1-2",https://data.biblissima.fr/w/Item:Q88719,https://digi.vatlib.it/view/MSS_Pal.lat.373,,Not found,"https://digi.ub.uni-heidelberg.de/diglit/stevenson1886/0242/image,info"
Laur. Plut. 53.08,"Florence. Biblioteca Medicea Laurenziana, Plut., 53.08",data/LaurentianusPluteus53.08,4,Gramm.,1459,1459,Color,Personal Humanistica,Sequential,"Donat, In Phormionem Terenti commentum",,http://mss.bmlonline.it/s.aspx?Id=AWOIfbebI1A4r7GxMIYg,Mattia Lupi,San Gimignano,
Laur. Plut. 53.09,"Florence. Biblioteca Medicea Laurenziana, Plut., 53.09",data/LaurentianusPluteus53.09,4,Gramm.,1400,1499,Color,Humanistica Rotunda,Sequential,"Donat, In Phormionem Terenti commentum",,http://mss.bmlonline.it/s.aspx?Id=AWOIfKr_I1A4r7GxMIMg,,Not found,https://ia800701.us.archive.org/19/items/studiitalianidif02fireuoft/studiitalianidif02fireuoft.pdf
"‡ Berlin, Hdschr. 25","Berlin, Stundenbuch, Hdschr. 25",data/SBB_PK_Hdschr25,17,Eccl.,1400,1499,Color,Textualis Formata,Semi-Sequential,Book of Hours,,http://resolver.staatsbibliothek-berlin.de/SBB0000457600000000,,Brügge,https://lab.sbb.berlin/sbb-pk-hdschr-25/
"‡ Berlin, Germ. Oct. 511","Berlin, Germ. Oct. 511",data/BGO-511,6,Eccl.,1400,1499,Color,Hybrida formata,Semi-Sequential,Psalm. 6,,https://digital-beta.staatsbibliothek-berlin.de/werkansicht?PPN=PPN71581317X,,Bavaria,https://lab.sbb.berlin/sbb-pk-mgo-511/
Latin 8236,"Paris. BnF, Latin 8236",data/Latin8236,5,Lit.,1471,1499,Microfilm,Humanistica Cursiva,Random,"Prudentius, 3.1-3.2, 3.16-3.17, 4.4-4.5; Tibullus, 3.7.74-3.7.114, 3.7.199-3.9.3",https://data.biblissima.fr/w/Item:Q66527,https://gallica.bnf.fr/ark:/12148/btv1b100353403,,Padoue,"Douglas F. Thomson. Catullus. Edited with a Textual and Interpretative Commentary. University of Toronto Press, 1997. p.82"
† CCCC MSS 165,"Cambridge. Corpus Christi College, Parker Library MS 165",data/CCCC-MSS-165,5,Schol.,1500,1599,Color,Personal Cursive,Sequential,"Peter Abelard, Sic et non",https://data.biblissima.fr/w/Item:Q210529,https://parker.stanford.edu/parker/catalog/rw051yd4696,,N/A,https://parker.stanford.edu/parker/catalog/rw051yd4696
